english,hassaniya-ar,hassaniya-en
The lake is a long way from here.,الظاية بعيدة حت من هون,8aya b3ida 7atte mn hown
He changed a lot since the last time.,اتبدل حت اورى اخر مرة,tbedel 7ete wre 2a5er mere
You should read such books as will benefit you.,يالتك تگر لكتوب الي ابفايدتهم اعليك,yaltek tegre lektoub li bvaydethoum 3lik
Why do I even care?,لاش نفتر راصي؟,lach nvetr rassi?
I cannot accept your gift.,مانگد نگبل هديتك,manged negbel hedeytek
Mouhamed doesn't know how to milk a goat.,محمد مايعرف كوما يحلب لمعيز,mou7amed maye3rev comma ye7leb lim3iz
My upper right wisdom tooth hurts.,توجعني ضرس لعقل العربيه اللي الفوگ,tewj3ni darss li39l l3arbiye li lvewg 
I am 19 years old.,عندي اتسطعشر سنة,3endi 2etse6e3cher sene
I met Dah on my way to school.,اجابرت امع الداه في اطريگي للمدرسه,2jabrt 2m3a dah vi 26rigi lilmedrasse
Betty killed her mother.,بتي كتلت والدتها,Betty ketlet waldetha
I think they saw me.,شاك انهوم شافوني,Chak 2enhoum chavouni
What's become of your dog?,ذ شنه لي اخلگ الكلبك ,4e chenhou li 5leg lkelbek
Why do you ask?,علاش اتسول؟,3lach 2tsewel?
I don't for a moment doubt your honesty.,ما داخلني شك من صدقك,ma da5elni chek mn sed9ek
They were successful in solving the problem.,نجحو فحل المشكلة,nej7ou v 7al lmouchkila
Your English is improving.,إنجليزيتك عادت اشبه,2inglizeytek 3adet 2echbeh
You shouldn't go.,أشبه ما تمشي ,echbah ma temchi
I'll study your report.,اندور انخرص تقريرك,ndour n5eres te9rirek
May I run with you?,انگد نجري معاك؟,ngid nijri m3ak 
I opened the door and saw two boys standing side by side.,افتحت الباب وشفت غرسين واگفين فبلد,efta7t lbab w chevt gharsseyn wagvin v bled
Do you have a room of your own?,عندك بيت وحدك؟,3endek beyt we7dek?
What you say does not make any sense to me.,ذلي دگول ما عند اي معني بنسب لي ,4eli dgoul ma3endou 2ey me3ne benesbe li
You'd be surprised what you can learn in a week.,لاه تتفاجئ بذلي تگد تتعلم ف اسبوع,lah tetvaaje2 b4eli tgued tet3alem v esbou3
Knowing is half the battle.,المعرفة هي نص الديگه,2lma3rive hiye niss deyge
"At last, he came.",عگب جا,3gab ja
Only fifteen minutes.,الا اخمسطعشر دقيقه,2la 25ms6a3shar da9i9a
"And yet, the contrary is always true as well.",و افطن العكس ملي صالح دايما,w v6en l3ekes meli sale7 daymen
You should be ashamed of your ignorance.,يالتك تكسح من جهلك,yaltek tekse7 mn jehlek
You're right.,عندك الحق,3endek l7e9
Aziz is in the house.,عزيز فالدار,3aziz v dar
I didn't know where it came from.,ما نعرف من امنين جات,mane3rev mn mneyn jat
I am only joking.,كنت الا انجوق ,Kent 2la 2njew9
Leave the rest to me.,خليلي الباگي,5alili lbagui
This happened for a reason.,هذا اخلگ إلسبب,ha4a 25lg 2ilsbb
How kind you are!,معيدلك!,me3eydlek!
"Stand back, please.",حوز حگل,7ouz 7agalla
Please wait for me at the station.,حنيني في الوقفه حگلل,7anini vi lwa9ve 7gll
My father has lived in Nagoya for more than fifteen years.,اسكن بوي اف ناجويا اكثر من اخمسطعشر سنة ,Sken bouye v nagoya 2ekther mn 5mes6e3cher sene
I love you.,نبقيك,neb9ik
A fox is not caught twice in the same snare.,ينگالو عر مرتين الا لحمار ,yingalou 3ar marteyn 2la li7mar
Let's get a cab.,اعطونا نگبظو تاكسي,36ouna negb8ou taxi
Could you tell me how to get to the station?,اتگد اتمور لي بلاصة الوقفه؟,2tgid tmewr li blasst 2lwa9fe
I remember seeing the movie.,حاجلي اني گط شفت ذ فيلم,7ajeli eni ga6 chevt 4e film
I tell you the truth.,انگولك الحگ,2ngoulek l7eg
Who is that man?,ذوك الراجل منه؟,4ok erajel mnho?
Mahfoudh is looking forward to going abroad after graduation.,محفوظ لاهي يگيس الخارج لين يوفي گرايتو,ma7fou8 lehi yguiss l5arej ywefi graytou
The war lasted two years.,الحرب عطات سنتين,l7arb 36at seneteyn
The phone went silent.,لتلفون مصمت,telefoun mousamte
I'm about ready.,انا تقريبا جاهز,2na ta9ribn jahiz
I don't blame you.,ماني لايمتك,Mani laymtk
"Speak louder, please.",حگل رگب حسك,7agalla regueb 7essak
You can't do two things at once.,ما تگد تعدل مردتين فوقت,matgued t3adel mredteyn v wa9t
You may as well follow his advice.,يالتك اتعدل ذلي گالك,yaltek t3edel 4eli galek
One can always find time.,اتگد تجبر الوقت دائما,2tged tejber 2lwe9t dayman
"There are a few apples on the tree, aren't there?",فم فيه شوي من ابم على الصدراية ، امالها حگ,"vem vih chwey mn pemme 3le sidraye , malhe 7ag  "
How lucky you are!,ياسعدك!,yase3dek!
Any chance you know where I put my keys?,ماتعرف امنين اطرحت امفاتيحي؟,ma ta3rev mneyn 6re7et mvati7i?
Everyone has strengths and weaknesses.,كل حد عند نقاط قوة و نقاط ضعف,kel 7ad 3endu ni9a6 9uwe w ni9a6 de3ev
Look at the distant horizon!,خرص الگدام,kharass lguedam
My older sister often drinks tea with milk.,عادة، اختي تشرب ليبتوه مع اللبن ,"3adatan, 25ti tishrb libitoh 2m3a 2lban"
Let me handle this.,خلي ذا علي انا,5ali 4e 3liye ane 
Layla attracted Vadhel's attention.,فاضل طارح البال ال ليلى,vadhel 6ar7 elbal el leyla
"Read it once more, please.",اگراها مره اخرى حگلل,2graha merra 25khra 7agll
We felt the house shake a little.,فطنا لهزه في الدار,v6ane lheze vi dar
Where is the problem?,منين المشكيلة؟,mneyn lmechkile?
Turn this music off immediately.,اطفي ذ لقن حالا,6vi 4e le9ne 7alan
Keep the money in a safe place.,لم الفظه في بلاصه آمنه,Lim lva8a vi blasse amne
We wonder why.,مندر علاش,mendra 3lach
"Unless you make a decision quickly, the opportunity will be lost.",الفرصه لهي توقد الين ما تگبظ قرار بالعجله,Ilvourssa Lahi tou9ed ileyn ma tgb8 9arar bil3ajle
"It was a dark night, with no moon.",كانت ليلة امظلمه، القمر ماكان ظاهر,"kant leyle 2m8alme, 2l9amar makn 8ahr"
What is over there?,فم شفيه؟,vem chvih?
Mouhamed swims very well.,محمد عوام,mo7amed 3awam
"Why did you wake me up to tell me something that big? Now, I'll never be able to concentrate on my work!","اعلاش واعيتني ياك ادگول شي ذكيفت اهميت؟ ظرك, ماتليت لاه انركز عل شقلتي ابدا","3lach wa3eytni yak dgouli chi 4ekivet 2ehemiyetou? 8erk, matleyt lahi nrekez 3le che9elti 2ebeden"
"You are young. I, on the contrary, am very old.",انت اسقير. وان اعل العكس شيباني,nte s9eyer. wane 3le l3ekes cheybani
You are very brave.,انت ارجيل,nte rjiyl
Measles can be quite dangerous.,خلفت تگد تعود خطيرة,5elvt tgued t3od 5a6ira
I wish I could go to Japan.,نبقي انگيس اليابان,neb9i 2ngis 2lyaban
All I know is that he came from China.,گد لي نعرف ان من الصين,Ged li ne3rev 2enou mn siyn 
She has a wonderful personality.,شخصيتها متينة,cha5siyetha mtina
You depend too much on others.,انت تتكل راصك اعل الناس حت,nte tetkel rasek 3le nas 7ete
Do your best in everything.,بذل جهدك اف كل شي,B4el jehdek v kel chi
What is it that you want?,شدور؟,Chedor ?
Turn off the TV.,اطفي التلفزة,6fi telveza
Do you have a receipt?,عندك الفكتيرة؟,3andak lvektira?
I was at a movie theater.,كنت في السينما,knt vicinema
The computer is new.,الكومبيوتر جديد,elcomputer jdid
I didn't want to look stupid.,ما بغيت نبان افيسد,ma bghayt nban feysid
You're right.,ذاك ما يولالو,4ak ma youwalalou
You must build up your courage.,يالتك اتعود افگراش,yaltek t3oud 2evegrach
I do not have an account in these forums.,ماعند كونت فذو المنتديات,ma3endi compte v4u 2lmountedeyat
Quite a few people have two cars.,ياسر من أرواگيج وتاتهم ثنتين,yassr mn arwaguij wetathoum thenteyn
Which way is the beach?,اي اطريگ تمشي شور لبحر,ey 6rig tmechi chor lib7ar
Do you have any pencils?,عندك اكرايوه؟,3endek crayon?
Lucy is from America.,لوسي من آمريك,louci mn 2mrik 
A mouse is a timid creature.,الفيران يستحاو,lviran yest7aw
Please shuffle the cards carefully.,لأطرح البال لتباتري مارياس,la 6ra7 lbal ltbatri meryass
You would do well to tell it to him in advance.,اشبه الا ادگولهال سابگ ذ,chbeh la dgoulhalou sabeg 4e
But Dad won't like it.,يغير والدي مالاهي يزيان عندو ذ,yegheyr waldi malahi yezyan 3ando 4e
Your letter made me happy.,رسالتك فرحتني,risaltek ver7etni
Don't leave the door open.,لا تخلي الباب مفتوح,la t5ali lbab meftou7
I've always wondered what it'd be like to have siblings.,دائما نتخمم اشلاه ايعود كيفت لَكنت بخوتي,dayman net5amem 2chlahi ye3oud kivet lkent b5outi
I have a cough.,گابظتني الكحة,gab8tni lke7a
Disgusting!,يگبظ شين لخلاگ,Ygebe8 cheyn le5lag
The popularity of a web site depends on its content.,شعبية مواقع الانترنت  واگفه على المحتويات اللي فيها,chiy3et mawa9e3 el internet wagve 23le lmou7teweyat li vihm
You have to come with me.,يالتك ادجي امعاي,yaltek dji m3aye
Here is my bicycle.,راعي رالتي,ra3i ralti
What's in this bag?,الصك شفيه,esak chvih?
Come quickly!,جي بالعجل,Ji bel3ejle
Some of my classmates like volleyball and others enjoy tennis.,وحدين من التلاميد اللي يگراو معاي يبغو فولي ولخرين يبغو التنس,wa7deyn mn tlamid eli yagraw m3aya yebghou volley w le5rayn yebghou tennis
He is allergic to house dust.,عندو حساسية من غبرة اديار,3ando 7assasiya mn ghabret dyar
I'm doing the dishes.,انا نصگل اجير,2ne nesgel 2jir
You ask me to do the impossible.,تطلبني انعدل المستحيل,te6lebni n3edel lmouste7il
He retired at the age of 65.,هو رترت عندو 65 سنه,houwe retret 3nd 65 sene
"Where are the eggs, please?",البيظ امنين حگل؟,lbey8 mneyn 7egele?
Do they think Mouhamed kissed Mariem?,هوم شكوا ان محمد حب مريم,houme chekou 2in mou7amed 7ab mariem 
The lion is the king of the jungle.,السبع شيخ الغابه,sba3 chey5 lghabe
I'll reconsider the matter.,ندور نتخمم فذاك,dor net5amam v 4ak
I know only this.,ما نعرف كون ذا,ma na3rav koun 4a
Our company makes use of the Internet.,شريكتنا مستفاده من لانترنت,cheriktne mistevade mn l'internet
I had to tell somebody.,كان يالتي نعلم حد,kan yalti n3alam 7ad
Please turn over.,حگلل عطيني بكتافك,7gll 36ini bktavek 
"Even if it rains, I'll go swimming Tomorrow.",حت لو جات السحاب ندور نعوم الصبح,7atta lew jat s7ab ndor n3om seb7
I'm right behind him.,أنا هي ال تالبتو,ena hiye eli talebtou
I have something to tell you.,عندي شي لاهي انگولولك,3endi chi lahi ngouloulek
That's your funeral.,هاذي جنازتك,ha4i janaztak
I once wanted to be an astrophysicist.,كنت مر من المرات متمني انعود من أهل فيزياء الفلك,kent mera men 2l merat metmeni 2n3oud mn ehl vizya2 elvelek
He plays the piano very well.,هو يخبط بيانو اخبيط زين,houwe ye5be6 piano 5bi6 zeyn
I read a book.,اگريت اكتاب,2gret 2ktab
I think I'm gonna sneeze. Give me a tissue.,كيفتشي لاهي نعطس. اعطيني اكلنكساي,kivetchi lahi ne36es. 36iyni klineksaye
English is the world's language.,الانگلبزيه هي لغة العالم.,lingliziye hiye lought l3alm 
We're very interested.,نحن مهتمين حت,n7ne mihtemin 7att
"Instead of going to Europe, I decided to go to America.",بدل من المشي شور اوروبا قررت نگيس آمريك,bedel mn nimchi chor europa 9arrt ngiss 2mrik
I'm going to drive to a mauritanian restaurant.,لاه انگيس مطعم موريتاني,Lahi ngis me63em mauritani
I'm playing with my friends.,انا نلعب امع اصحابي,2ne nel3ab 2m3a 2s7abi
What? I can't hear you.,آش؟ ماني سامعك,ach? mani sam3ak
Sami was arguing with Layla.,سامي كان يدايگ امع ليلى,sami kan ydayg 2m3 leyla
I suggest you do what Ahmed says.,ننصحك الا تعدل ذلي گال أحمد ,Nens7ek 2ela t3edel 4eli gal Ahmed
We heard it from Mr Such and such.,سمعنا ذلك من فلان و علان,sma3ne 4ak mn vlan w 3alan 
I don't need your help.,ماني ابحاجت معونتك,mani b7ajet me3ountek
You'd better go to see your family doctor at once.,اشبه ادگيس طبيبك حالا,chbeh dgis 6ebibek 7alen
The houses and cars looked tiny from the sky., بانو الديار و الوتات صغيرين من فوق,banou  dyar w lwetat sghayrin mn vewg
It's delicious!,احلوه,27louwe 
The sisters are both blondes.,الاخوات روصهم صفر,la5wat rousshoum sevr
I prefer going out to staying at home.,نبغي نوخظ عن نبگ في الدار,nibghi new5a8 3n nebge vi dar
I think I need to talk to Ahmed .,اندي عن يالتي نتكلم امع احمد ,ndi 3an yalti netkelem m3e Ahmed 
All you have to do is try your best.,الي اعليك منشي الا انك تبذل جهدك,li 3lik menchi la nek teb4el jehdek
Oumou can speak hassaniya.,أومو اتگد تتكلم الحسانيه,oumou tged tetkellem l7assaniya
Police came looking for Fadil.,جات بوليس يلود لفاضل,Jaw police ylewdou l fadil 
The sound of the violin is very sweet.,حس الكمان زين حت,7es lkeman zeyn 3andi 7atta
We are going downtown to eat pizza.,واعدين الدشرة نوكلو بيتزا,wa3din dechra nowklou pizza
I don't want to be lame; I want to be cool!!,ماندور انعود اثقيل اعل لخْلاگ، اندور انعود رداح,"mandour 2n3oud 2th9il 3le le5lag, 2ndour 2n3oud reda7"
